dataset_name,model,profile_number,q1_correct_answer,q2_correct_answer
education,dt,1,Fail,"Grade,Absences,Has romantic relationship"
education,dt,2,Pass,"Grade,Absences,Has romantic relationship"
education,dt,3,Fail,"Grade,Absences,Has romantic relationship"
education,dt,4,Pass,"Grade,Absences,Has romantic relationship"
education,lr,1,Fail,"Grade,Absences,Has romantic relationship"
education,lr,2,Pass,"Grade,Absences,Has romantic relationship"
education,lr,3,Fail,"Grade,Absences,Has romantic relationship"
education,lr,4,Pass,"Grade,Absences,Has romantic relationship"
education,shap,1,Fail,"Grade,Absences,Has romantic relationship"
education,shap,2,Pass,"Grade,Absences,Has romantic relationship"
education,shap,3,Fail,"Grade,Absences,Has romantic relationship"
education,shap,4,Pass,"Grade,Absences,Has romantic relationship"
education,no_shap,1,Fail,"Grade,Absences,Has romantic relationship"
education,no_shap,2,Pass,"Grade,Absences,Has romantic relationship"
education,no_shap,3,Fail,"Grade,Absences,Has romantic relationship"
education,no_shap,4,Pass,"Grade,Absences,Has romantic relationship"
